,product_name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature,processor_name,processor_speed,no_cores,caches,graphics_card,ram_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
20,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop ,74990,71,312,4.3,Windows 11,"Gaming, Performance",22.8mm Thick,2.2kg,1 Year,15.6inches,1920x1080 px,141,"90Wh, 4 Cell Battery",16:9 Aspect Ratio,11th Gen Intel Core i7 11800H,8 x 2.3GHz (Turbo Speed upto 4.6GHz) Cores,"Octa Core, 16 Threads",24MB Cache,"4GB, NVIDIA GeForce RTX 3050 Ti GraphicsAverage",16GB DDR4 RAM,1TB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
21,HP Victus 15-fb1017AX Gaming Laptop ,56490,69,78,4.2,Windows 11,Gaming,22.5mm Thick,2.37kg,1 Year,15.6inches,1920x1080 px,141,4 Cell Battery,16:9 Aspect Ratio,7th Gen Amd Ryzen 5 7535HS,6 x 3.3GHz (Turbo Speed upto 4.55GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
22,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop ,59990,64,248,4.3,Windows 11,Gaming,25.2mm Thick,2.4kg,1 Year,15.6inches,1920x1080 px,184,"60Wh, 3 Cell Battery",16:10 Aspect Ratio,12th Gen Intel Core i5 12450H,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",16GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
23,Apple MacBook Air 2024 Laptop ,114900,46,104,4.3,Mac,Performance,11.3mm Slim,1.24kg,1 Year,13.6inches,2560x1664 px,224,52.6Wh Battery,,Apple M3,,Octa Core (4P + 4E),,Apple 8 Core GPU Graphics,8 GB RAM,256 GB SSD,Thunderbolt,"WiFi, Bluetooth v5.3",2 x USB Type-C,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
24,Infinix Zerobook 2023 Laptop ,74990,68,544,4.0,Windows 11,Performance,16.95mm Slim,1.8kg,1 Year,15.6inches,1920x1080 px,141,70Wh Battery,16:9 Aspect Ratio,Intel Integrated Iris Xe Graphics,6 x 2.6GHz (Turbo Speed upto 5.4GHz) Performance Cores8 x 1.9GHz (Turbo Speed upto 4.1GHz) Efficient Cores,"14 Cores (6P + 8E), 20 Threads",24MB Cache,Intel Integrated Iris Xe Graphics,32GB LPDDR5X RAM,1TB SSD,"HDMI, Display Port","WiFi, Bluetooth v5.2","2 x USB 2.0, 2 x USB 3.0","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
25,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop ,99990,74,344,4.4,Windows 11,Performance,22.4mm Average,2.2kg,1 Year,15.6inches,1920x1080 px,141,"90Wh, 4 Cell Battery",16:9 Aspect Ratio,12th Gen Intel Core i7 12700H,6 x 2.3GHz (Turbo Speed upto 4.7GHz) Performance Cores8 x 1.7GHz (Turbo Speed upto 3.5GHz) Efficient Cores,"14 Cores (6P + 8E), 20 Threads",24MB Cache,"8GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
26,Asus TUF F15 FX506HF-HN024W Gaming Laptop ,49990,64,1205,4.4,Windows 11,"Gaming, Performance",24.5mm Thick,2.3kg,1 Year,15.6inches,1920x1080 px,141,"90Wh, 3 Cell Battery",16:9 Aspect Ratio,11th Gen Intel Core i5 11400H ,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,"Hexa Core, 12 Threads",12MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
27,Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop ,42990,54,2534,4.3,Windows 11,"Business, Performance",18.5mm Slim,1.8kg,1 Year,15.6inches,1920x1080 px,141,"43Wh, 4 Cell Battery",Anti Glare,Intel Integrated UHD Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated UHD Graphics,8GB LPDDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","1 x USB 2.0, 1 x USB 3.0, 2 x USB Type-C",Inbuilt Microphone
28,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop ,55390,57,84,4.4,Windows 11,Business,17.9mm Slim,1.37kg,1 Year,14inches,1920x1080 px,157,"47Wh, 3 Cell Battery",Anti Glare,Intel Integrated UHD Graphics Graphics,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,Intel Integrated UHD Graphics Graphics,16GB LPDDR5 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
29,Colorful Evol P15 Gaming Laptop ,89999,70,65,4.6,Windows 11,Performance,,,1 Year,15.6inches,2560x1440 px,188,,16:9 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3GHz (Turbo Speed upto 4.7GHz) Performance Cores4 x 1.7GHz (Turbo Speed upto 3.5GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24MB Cache,"8GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Display Port","WiFi, Bluetooth","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
30,Dell 15 G15-5530 Gaming Laptop ,79990,68,108,4.1,Windows 11,Gaming,26.9mm Thick,2.65kg,1 Year,15.6inches,1920x1080 px,141,"56Wh, 3 Cell Battery",Anti Glare,13th Gen Intel Core i5 13450HX,6 x (Turbo Speed upto 4.6GHz) Performance Cores4 x (Turbo Speed upto 3.4GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",20MB Cache,"6GB, NVIDIA GeForce RTX 3050 GraphicsLarge",16GB DDR5 RAM,1TB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
31,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop ,84990,74,93,4.6,Windows 11,"Performance, Gaming",16.9mm Slim,1.3kg,1 Year,13.4inches,1920x1200 px,169,"62Wh, 4 Cell Battery",Anti Glare,6th Gen AMD Ryzen 9 6900HS​,8 x 3.3GHz (Turbo Speed upto 4.9GHz) Cores,"Octa Core, 16 Threads",16MB Cache,"4GB, ‎NVIDIA GeForce RTX 3050 GraphicsAverage",16GB LPDDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.2","3 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
32,Lenovo IdeaPad Slim 3 83ER008GIN Laptop ,54990,57,323,4.1,Windows 11,Business,19.9mm Average,1.62kg,1 Year,15.6inches,1920x1080 px,134,"47Wh, 3 Cell Battery",Anti Glare,Intel Integrated UHD Graphics Graphics,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,Intel Integrated UHD Graphics Graphics,16GB LPDDR5 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
