,product_name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature,processor_name,processor_speed,no_cores,caches,graphics_card,ram_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
463,HP Victus 15-fb0158AX Gaming Laptop ,47990,63,107,4.2,Windows 11,Gaming,23mm Thick,2.37kg,1 Year,15.6inches,1920x1080 px,137,"52.5Wh, 3 Cell Battery",16:9 Aspect Ratio,"4 GB, AMD Radeon RX 6500M GraphicsLargest",6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, AMD Radeon RX 6500M GraphicsLargest",8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
464,HP Pavilion x360 14-ek1021TU Laptop ,86990,65,93,4.3,Windows 11,"Everyday Use, Business, Performance",18.9mm Average,1.51kg,1 Year,14inches,1920x1080 px,157,"43Wh, 3 Cell Battery",Touch Screen,Intel Integrated Iris Xe Graphics,2 x (Turbo Speed upto 5GHz) Performance Cores8 x (Turbo Speed upto 3.7GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Iris Xe Graphics,16GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C",5MP Camera
465,Lenovo S14 Gen 3 82TW001DIH Laptop ,47990,51,108,4.0,Windows 11,"Everyday Use, Business, Performance",,1.5 kg,3 Year,14inches,1920x1080 px,157,"45Wh, 3 Cell Battery",Anti Glare,Intel UHD Graphics Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel UHD Graphics Graphics,8GB RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
466,Lenovo IdeaPad Gaming 3 15IAH7 82S9014LIN Laptop ,71990,63,684,4.3,Windows 11,Gaming,21.8mm Thick,2.25kg,1 Year,15.6inches,1920x1080 px,141,60Wh Battery,16:9 Aspect Ratio,12th Gen Intel Core i5 12450H,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"4GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
467,HP Victus 15-fa1062TX Gaming Laptop ,98000,66,97,4.2,Windows 11,Gaming,22.5mm Average,2.37kg,1 Year,15.6inches,1920x1080 px,141,"70Wh, 4 Cell Battery",Anti Glare,13th Gen Intel Core i5 13500H,4 x (Turbo Speed upto 4.7GHz) Performance Cores8 x (Turbo Speed upto 3.5GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB Cache,"6GB, NVIDIA GeForce RTX 4050 GraphicsAverage",16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
468,HP 15-fc0027AU Laptop ,36990,52,94,4.5,Windows 11,Performance,,1.75 kg,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",Anti Glare,AMD Radeon AMD Graphics,4 x 2.4GHz (Turbo Speed upto 4.1GHz) Cores,"Quad Core, 8 Threads",4MB Cache,AMD Radeon AMD Graphics,8GB LPDDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
469,Lenovo ThinkBook 15 Gen 5 21JF0026MJ Laptop ,49990,64,82,4.2,Windows 11,Performance,18.9mm Average,1.69kg,1 Year,16inches,1920x1080 px,138,"45Wh, 3 Cell Battery",,AMD Radeon AMD Graphics,8 x 2GHz (Turbo Speed upto 4.5GHz) Cores,"Octa Core, 16 Threads",16MB Cache,AMD Radeon AMD Graphics,16GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
470,Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop ,40990,46,91,4.1,Windows 11,"Everyday Use, Gaming, Business, Performance",,1.75 kg,1 Year,15.6inches,1920x1080 px,141,3 Cell Battery,16:9 Aspect Ratio,Intel UHD Graphics Graphics,1 x (Turbo Speed upto 4.5GHz) Performance Cores4 x (Turbo Speed upto 3.3GHz) Efficient Cores,"5 Cores (1P + 4E), 6 Threads",,Intel UHD Graphics Graphics,8 GB DDR5 RAM,512 GB SSD,"HDMI, Thunderbolt","WiFi, Bluetooth v5.1","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
471,Lenovo Legion Slim 5 16APH8 82Y9008MIN Gaming Laptop ,130990,79,102,4.4,Windows 11,Gaming,19.9mm Average,2.4kg,1 Year,16inches,2560x1600 px,189,"80Wh, 4 Cell Battery",Anti Glare,7th Gen AMD Ryzen 7 7840HS,8 x 3.8GHz (Turbo Speed upto 5.1GHz) Cores,"Octa Core, 16 Threads",16MB Cache,"8GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
472,Asus VivoBook 15 X515MA-BR022WS Laptop ,26100,38,92,4.3,Windows,Everyday Use,,1.8 kg,1 Year,15.6inches,1366x768 px,100,2 Cell Battery,Anti Glare,Intel Integrated UHD 600 Graphics,2 x 1.1GHz (Turbo Speed upto 2.8GHz) Cores,"Dual Core, 2 Threads",4MB Cache,Intel Integrated UHD 600 Graphics,8GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth","2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
473,HP Spectre 17-cs0097nr Foldable Laptop ,415000,66,63,4.7,Windows 11,Everyday Use,376.17mm Thickest,1.62kg,1 Year,17inches,1920x2560 px,188,"94.3Wh, 6 Cell Battery",Touch Screen,Intel Iris Xe Graphics Graphics,2 x (Turbo Speed upto 4.7GHz) Performance Cores8 x (Turbo Speed upto 3.5GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,16GB LPDDR5 RAM,1TB SSD,Thunderbolt,"WiFi, Bluetooth v5.3",,5 MP Camera
474,Fujitsu CH‎ 4ZR1L82433 Laptop ,59856,61,88,4.1,Windows 11,Everyday Use,16mm Slim,998g,2 Year,13.3inches,1920x1080 px,166,"50Wh, 4 Cell Battery",16:10 Aspect Ratio,Intel Iris Xe Graphics Graphics,2 x (Turbo Speed upto 4.6GHz) Performance Cores8 x (Turbo Speed upto 3.4GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,16GB DDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
475,Fujitsu CH‎ 4ZR1L82434 Laptop ,69990,62,85,4.4,Windows 11,Everyday Use,16mm Slim,998g,2 Year,13.3inches,1920x1080 px,166,"50Wh, 4 Cell Battery",16:10 Aspect Ratio,Intel Iris Xe Graphics Graphics,2 x (Turbo Speed upto 5GHz) Performance Cores8 x (Turbo Speed upto 3.7GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,16GB DDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth","1 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
476,Asus Vivobook 15X OLED M3504YA-LK752WS Laptop ,62990,63,61,4.6,Windows 11,Everyday Use,17.9mm Slim,1.7kg,1 Year,15.6inches,1920x1080 px,141,"50Wh, 3 Cell Battery",16:9 Aspect Ratio,Integrated AMD Radeon Graphics Graphics,8 x 2GHz (Turbo Speed upto 4.5GHz) Cores,"Octa Core, 16 Threads",16MB Cache,Integrated AMD Radeon Graphics Graphics,16GB DDR4 RAM,1TB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
477,Asus Vivobook 15 X1502ZA-EJ993WS Laptop ,39990,54,379,4.4,Windows 11,Performance,19.9mm Average,1.7kg,1 Year,15.6inches,1920x1080 px,141,"42Wh, 3 Cell Battery",Anti Glare,Intel Integrated UHD Graphics,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10MB Cache,Intel Integrated UHD Graphics,16GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.3","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
478,Asus Vivobook 15 X1504ZA-NJ542WS Laptop ,50990,56,75,4.1,Windows 11,,17.9 mm Slim,1.7 kg,1 Year,15.6inches,1920x1080 px,141,42Wh Battery,16:09 Aspect Ratio,Intel Iris Xe Graphics Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,16GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.3","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
479,HP Pavilion 15-eg3018TU Laptop ,72490,55,377,4.3,Windows 11,Performance,17.9mm Slim,1.74kg,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",Anti Glare,Intel Integrated Intel Iris Xe Graphics Graphics,2 x (Turbo Speed upto 4.6GHz) Performance Cores8 x (Turbo Speed upto 3.4GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Intel Iris Xe Graphics Graphics,16GB DDR4- RAM,1TB SSD,HDMI,"WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C",Backlit Keyboard
480,Acer Swift Go NXKPZSI002 Laptop ,64990,60,109,4.5,Windows 11,Performance,14.9mm Slim,1.25kg,1 Year,14inches,2880x1800 px,243,"65Wh, 4 Cell Battery",16:10 Aspect Ratio,Intel Integrated Iris Xe Graphics,4 x (Turbo Speed upto 4.7GHz) Performance Cores8 x (Turbo Speed upto 3.5GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB Cache,Intel Integrated Iris Xe Graphics,16GB LPDDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
481,Acer Nitro V ANV15-51 Gaming Laptop ,75990,56,88,4.5,Windows 11,Gaming,25.9mm Thick,2.6kg,1 Year,15.6inches,1920x1080 px,141,,Anti Glare,13th Gen Intel Core i5 13420H,4 x (Turbo Speed upto 4.6GHz) Performance Cores4 x (Turbo Speed upto 3.4GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"6GB, NVIDIA GeForce RTX 4050 GraphicsLarge",8GB DDR5 SDRAM RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.1","3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
482,HP 15s-fq3066TU Laptop ,28990,46,964,3.8,Windows 11,Performance,17.9mm Slim,1.69kg,1 Year,15.6inches,1366x768 px,141,"41Wh, 3 Cell Battery",Anti Glare,Intel Integrated UHD Graphics,2 x (Turbo Speed upto 2.8GHz) Cores,"Dual Core, 2 Threads",4MB Cache,Intel Integrated UHD Graphics,8GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
483,Asus Vivobook Pro 15 M6500RC-HN741WS Laptop ,72990,66,64,4.3,Windows 11,Gaming,19.9mm Average,1.8kg,1 Year,15.6inches,1920x1080 px,141,"50Wh, 3 Cell Battery",16:9 Aspect Ratio,6th Gen AMD Ryzen 7 6800H,8 x 3.2GHz (Turbo Speed upto 4.7GHz) Cores,"Octa Core, 16 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16GB LPDDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.0","2 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
484,HP Victus 15-fb1016AX  Gaming Laptop ,62500,63,323,4.3,Windows 11,Gaming,22.5mm Thick,2.37kg,1 Year,15.6inches,1920x1080 px,141,"52.5Wh, 3 Cell Battery",Anti Glare,7th Gen AMD Ryzen 5 7535HS,6 x 3.3GHz (Turbo Speed upto 4.55GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsAverage",8GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
485,Lenovo Ideapad 3 15ITL06 82H803GUIN Laptop ,34890,48,98,3.9,Windows 11,Business,,,1 Year,15.6inches,1920x1080 px,141,3 Cell Battery,,Intel UHD Graphics Graphics,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB Cache,Intel UHD Graphics Graphics,8GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.1","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
486,Lenovo Yoga 7 82YM0074IN Laptop ,94190,75,78,4.6,Windows 11,Performance,17.7mm Slim,1.49kg,1 Year,14inches,2880x1800 px,243,4 Cell Battery,16:10  Aspect Ratio,AMD Radeon Graphics Graphics,8 x 2.7GHz (Turbo Speed upto 4.75GHz) Cores,"Octa Core, 16 Threads",16MB Cache,AMD Radeon Graphics Graphics,16GB DDR5 RAM,1TB SSD,"HDMI, Thunderbolt","WiFi, Bluetooth","1 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
487,Lenovo IdeaPad Flex 5 82Y00053IN Laptop ,87990,55,95,4.6,Windows 11,Performance,,,1 Year,14inches,1920x1200 px,162,52.5Wh Battery,Anti Glare,‎Intel Iris Xe Graphics Graphics,2 x (Turbo Speed upto 5GHz) Performance Cores8 x (Turbo Speed upto 3.7GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,‎Intel Iris Xe Graphics Graphics,16GB RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
488,Lenovo IdeaPad 3 82H803HRIN Laptop ,56990,55,91,4.2,Windows 11,"Everyday Use, Business, Performance",,1.65 kg,1 Year,15.6inches,1920x1080 px,141,"45Wh, 3 Cell Battery",,Integrated Intel Iris Xe Graphics Graphics,4 x 1.2GHz (Turbo Speed upto 4.7GHz) Cores,"Quad Core, 8 Threads",12MB Cache,Integrated Intel Iris Xe Graphics Graphics,16GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
489,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop ,69990,59,382,4.6,Windows 11,"Everyday Use, Performance, Gaming",234.3mm Thick,1.8kg,1 Year,15.6inches,1920x1080 px,141,50Wh Battery,16:9 Aspect Ratio,5th Gen AMD Ryzen 5 5600HS,6 x 3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16GB DDR4 RAM,1TB SSD,HDMI,"WiFi, Bluetooth v5.3",1 x USB Type-C,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
490,HP 250 G9 7N179PA Laptop ,49990,53,64,4.1,Windows 11,Everyday Use,242mm Thick,1.74kg,1 Year,15.6inches,1366x768 px,100,"41Wh, 3 Cell Battery",16:9 Aspect Ratio,Intel Iris Xe Graphics Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2",1 x USB Type-C,Inbuilt Microphone
491,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop ,73990,60,58,4.3,Windows 11,"Everyday Use, Performance, Gaming",234.3mm Thick,1.8kg,1 Year,15.6inches,1920x1080 px,141,50Wh Battery,16:9 Aspect Ratio,5th Gen AMD Ryzen 7 5800HS,8 x 2.8GHz (Turbo Speed upto 4.4GHz) Cores,"Octa Core, 16 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16GB DDR4 RAM,1TB SSD,HDMI,"WiFi, Bluetooth v5.3",1 x USB Type-C,"Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
492,HP 255 G9 841W6PA Laptop ,23999,44,151,4.2,DOS 3.0,"Everyday Use, Business",242mm Thickest,1.74kg,1 Year,15.6inches,1366x768 px,100,"41Wh, 3 Cell Battery",16:9 Aspect Ratio,AMD Radeon Graphics Graphics,2 x 2.6GHz (Turbo Speed upto 3.5GHz) Cores,"Dual Core, 4 Threads",4MB Cache,AMD Radeon Graphics Graphics,8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.0",1 x USB Type-C,Inbuilt Microphone
493,Lenovo Ideapad Slim 5 82XF007CIN Laptop ,74490,53,97,4.3,Windows 11,"Everyday Use, Performance",16.9mm Slim,1.89kg,1 Year,16inches,1920x1200 px,142,56.6Wh Battery,16:10 Aspect Ratio,Intel Iris Xe Graphics Graphics,4 x (Turbo Speed upto 4.7GHz) Performance Cores8 x (Turbo Speed upto 3.5GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB Cache,Intel Iris Xe Graphics Graphics,16GB LPDDR5 RAM,1TB SSD,HDMI,"WiFi, Bluetooth v5.1",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
494,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop ,62190,54,80,4.3,Windows 11,Everyday Use,,1.9 kg,1 Year,16inches,1920x1200 px,142,"56.6Wh, 3 Cell Battery",16:10 Aspect Ratio,Intel UHD Graphics Graphics,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,Intel UHD Graphics Graphics,16GB LPDDR5 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.1",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
495,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop ,82990,69,121,4.4,Windows 11,Performance,18.9mm Average,1.8kg,1 Year,16inches,1920x1200 px,142,"50Wh, 3 Cell Battery",16:10 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3GHz (Turbo Speed upto 4.7GHz) Performance Cores4 x 1.7GHz (Turbo Speed upto 3.5GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24MB Cache,"4GB, NVIDIA GeForce RTX 3050 GraphicsAverage",16GB DDR4 RAM,1TB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
496,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop ,37990,48,88,4.8,Windows 11,Performance,19.9mm Average,1.63kg,1 Year,15.6inches,1920x1080 px,157,3 Cell Battery,16:9 Aspect Ratio,‎Intel UHD Graphics Graphics,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10MB Cache,‎Intel UHD Graphics Graphics,8GB RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
497,Gigabyte G5 MF-F2IN313SH Laptop ,71990,64,60,4.7,Windows 11,Gaming,22.7mm Thick,2.08kg,2 Year,15.6inches,1920x1080 px,141,,,12th Gen Intel Core i5 12450H,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"6GB, NVIDIA GeForce RTX 4050 GraphicsLarge",16GB RAM,512GB SSD,"Ethernet (LAN), HDMI, Display Port, Thunderbolt","WiFi, Bluetooth v5.2","1 x USB 2.0, 1 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
498,Asus Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop ,81088,64,275,4.3,Windows 11,Performance,,1.4 kg,1 Year,14inches,3840x2400 px,323,"63Wh, 3 Cell Battery",16:10 Aspect Ratio,Intel Iris Xe Graphics Graphics,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Performance Cores8 x 1.8GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB Cache,Intel Iris Xe Graphics Graphics,16GB LPDDR5 RAM,512GB SSD,"HDMI, Thunderbolt","WiFi, Bluetooth v5.3","1 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
499,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop ,57990,48,97,4.2,Windows 11,Business,,,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",,Intel Integrated Integrated Intel® UHD Graphics Graphics,2 x (Turbo Speed upto 4.6GHz) Performance Cores8 x (Turbo Speed upto 3.4GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Integrated Intel® UHD Graphics Graphics,8GB DDR4 RAM,1TB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth","1 x USB 2.0, 1 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
500,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop ,51990,64,1144,4.2,Windows 11,Gaming,19.9mm Average,2.1kg,1 Year,15.6inches,1920x1080 px,141,"50Wh, 3 Cell Battery",Anti Glare,12th Gen Intel Core i5 12450H,4 x 2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 1.5GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Octa Core (4P + 4E), 12 Threads",12MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI","WiFi, Bluetooth v5.2","3 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
501,HP Victus 15-FB1001AX Gaming Laptop ,54990,66,105,4.4,Windows 11,Gaming,23.5mm Thick,2.29kg,1 Year,15.6inches,1920x1080 px,141,"52.5Wh, 3 Cell Battery",Anti Glare,7th Gen AMD Ryzen 5 7535HS,6 x 3.3GHz (Turbo Speed upto 4.55GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, NVIDIA GeForce RTX 2050 GraphicsLargest",8GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
502,Lenovo Legion 9i 2023 Laptop ,399999,83,103,4.0,Windows 11,Gaming,,,1 Year,16inches,3200x2000 px,236,99Wh Battery,16:10 Aspect Ratio,13th Gen Intel Core i9 13980HX,8 x (Turbo Speed upto 5.6GHz) Performance Cores16 x (Turbo Speed upto 4GHz) Efficient Cores,"24 Cores (8P + 16E), 32 Threads",36MB Cache,"16GB, NVIDIA GeForce RTX 4090 GraphicsLargest",32GB DDR5 RAM,1TB SSD,"Ethernet (LAN), HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","2 x USB 3.0, 3 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
503,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop ,99990,69,82,4.5,Windows 11,Gaming,20mm Average,1.8kg,1 Year,16inches,1920x1200 px,283,"70Wh, 3 Cell Battery",16:10 Aspect Ratio,12th Gen Intel Core i7 12650H,6 x 2.3GHz (Turbo Speed upto 4.7GHz) Performance Cores4 x 1.7GHz (Turbo Speed upto 3.5GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24MB Cache,NVIDIA Geforce RTX Graphics,16GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
504,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop ,86990,60,59,4.7,Windows 11,Gaming,25mm Thick,2.2kg,1 Year,15.6inches,1920x1080 px,141,"90Wh, 4 Cell Battery",Anti Glare,12th Gen Intel Core i7 12700H ,,20 Threads,24 MB Cache,"4 GB, ‎NVIDIA GeForce RTX 3050 GraphicsAverage",16 GB DDR5 RAM,1 TB SSD,"Ethernet (LAN), HDMI, Thunderbolt","WiFi, Bluetooth v5.2","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
505,Gigabyte G6 KF Gaming Laptop ,130000,68,56,4.3,Windows 11,"Gaming, Everyday Use",263.8mm Thickest,2.3kg,,16inches,1920x1200 px,142,54Wh Battery,16:10 Aspect Ratio,13th Gen Intel Core i7 13620H,6 x (Turbo Speed upto 4.9GHz) Performance Cores4 x (Turbo Speed upto 3.6GHz) Efficient Cores,"10 Cores (6P + 4E), 16 Threads",24MB Cache,"8GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16GB DDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Display Port","WiFi, Bluetooth v5.2",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
